name,PARTY,handle,STATEABBR,RACE,DISTRICT,ELECTIONDATE,VOTE_SHARE,NOTES,NONPARTISAN_PRIMARY,DISTRICT_CORR,STATE_CORR,RUNOFF_PERC,RANKED_CHOICE_VOTING,COMPLETE
Susan Lynn Martinez,D,,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Lauren Boebert,R,laurenboebert,CO,US Representative,3,28/06/2022,63.9,,,,,,,Y
Colin Wilhelm,D,,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Donald Valdez,D,donaldvaldezco,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Kerry Donovan,D,kerrydonovanco,CO,US Representative,3,28/06/2022,,WD,,,,,,Y
Don Coram,R,,CO,US Representative,3,28/06/2022,36.1,,,,,,,Y
Isaac I. McCorkle,D,ike4co,CO,US Representative,4,28/06/2022,100,,,,,,,Y
Ken Buck,R,buckforcolorado,CO,US Representative,4,28/06/2022,75.2,,,,,,,Y
Michael C. Colombe,D,,CO,US Representative,5,28/06/2022,45.7,,,,,,,Y
Jeremy J. Dowell,D,,CO,US Representative,5,28/06/2022,,WD,,,,,,Y
Santiago David Goenaga-Torres,D,cd5torres,CO,US Representative,5,28/06/2022,,NL,,,,,,Y
Rebecca E. Keltie,R,keltie4congress,CO,US Representative,5,28/06/2022,12.7,,,,,,,Y
Dave Williams,R,repdavewilliams,CO,US Representative,5,28/06/2022,31.3,,,,,,,Y
Jason Crow,D,jasoncrowco,CO,US Representative,6,28/06/2022,100,,,,,,,Y
Tim Reichert,R,timreichertco,CO,US Representative,7,28/06/2022,36.4,,,,,,,Y
Kyle Alexander Faust,D,,CO,US Representative,7,28/06/2022,,WD,,,,,,Y
Laurel A. Imer,R,imerforcolorado,CO,US Representative,7,28/06/2022,15.6,,,,,,,Y
Brittany Pettersen,D,pettersen4co,CO,US Representative,7,28/06/2022,100,,,,,,,Y
Ed Perlmutter,D,ed4colorado,CO,US Representative,7,28/06/2022,,NL,,,,,,Y
Yadira Caraveo,D,yadiracaraveo,CO,US Representative,8,28/06/2022,100,,,,,,,Y
Johnny Humphrey,D,johnnynhumphrey,CO,US Representative,8,28/06/2022,,WD,,,,,,Y
Chaz Tedesco,D,chazforcongress,CO,US Representative,8,28/06/2022,,WD,,,,,,Y
Ryan Gonzalez,R,ryangonzalezco,CO,US Representative,8,28/06/2022,,WD,,,,,,Y
Jewels Gray,R,jewelsgray,CO,US Representative,8,28/06/2022,,WD,,,,,,Y
Barbara Kirkmeyer,R,,CO,US Representative,8,28/06/2022,40.9,,,,,,,Y
Jan Kulmann,R,jankulmann,CO,US Representative,8,28/06/2022,22.7,,,,,,,Y
Lori Saine,R,lorisaine,CO,US Representative,8,28/06/2022,19.9,,,,,,,Y
Deborah Flora,R,deborahforco,CO,US Senator,,28/06/2022,,WD,,,,,,Y
Joseph O'Dea,R,odeaforcolorado,CO,US Senator,,28/06/2022,55.5,,,,,,,Y
Gino Campana,R,gino_campana,CO,US Senator,,28/06/2022,,WD,,,,,,Y
Eli Bremer,R,eliforcolorado,CO,US Senator,,28/06/2022,,WD,,,,,,Y
Karen Breslin,D,breslinsenate,CO,US Senator,,28/06/2022,,NL,,,,,,Y
Ron Hanks,R,hanksussenate,CO,US Senator,,28/06/2022,44.5,,,,,,,Y
Peter Yu,R,yupeterco,CO,US Senator,,28/06/2022,,WD,,,,,,Y
Michael Bennet,D,michaelbennet,CO,US Senator,,28/06/2022,100,,,,,,,Y
Lawrence Z. Lazor,R,larrylazor,CT,US Representative,1,09/08/2022,,C,,,,,,Y
Andrew J. Legnani,D,,CT,US Representative,1,09/08/2022,,WD,,,,,,Y
Muad Hrezi,D,muadhrezi,CT,US Representative,1,09/08/2022,,WD,,,,,,Y
John Larson,D,johnlarsonct,CT,US Representative,1,09/08/2022,,C,,,,,,Y
Anthony A. DiLizia,D,diliziaforct,CT,US Representative,2,09/08/2022,,WD,,,,,,Y
Mike France,R,mikefrancect2,CT,US Representative,2,09/08/2022,,C,,,,,,Y
Joe Courtney,D,joecourtneyct,CT,US Representative,2,09/08/2022,,C,,,,,,Y
Erik Storesund,D,erikstoresund,CT,US Representative,3,09/08/2022,,NL,,,,,,Y
Rosa DeLauro,D,rosa_delauro,CT,US Representative,3,09/08/2022,,C,,,,,,Y
Michael Goldstein,R,drmgoldstein,CT,US Representative,4,09/08/2022,39.7,,,,,,,Y
Brian Merlen,D,votemerlen,CT,US Representative,4,09/08/2022,,NL,,,,,,Y
Jim Himes,D,jahimes,CT,US Representative,4,09/08/2022,,C,,,,,,Y
Jahana Hayes,D,jahanahayesct,CT,US Representative,5,09/08/2022,,C,,,,,,Y
George S. Logan,R,gsloganct,CT,US Representative,5,09/08/2022,,C,,,,,,Y
John J. Flynn,R,jflynn4ussenate,CT,US Senator,,09/08/2022,,WD,,,,,,Y
Richard Blumenthal,D,dickblumenthal,CT,US Senator,,09/08/2022,,C,,,,,,Y
Lisa Blunt Rochester,D,lisabrochester,DE,US Representative,1,13/09/2022,,C,,,,,,Y
Lee H. Murphy,R,gomurph2020,DE,US Representative,1,13/09/2022,,C,,,,,,Y
Gregory Maye,D,gregmayefordc,DC,US Delegate,1,21/06/2022,,NL,,,,,,Y
Wendy Hamilton,D,revwendy3,DC,US Delegate,1,21/06/2022,6,,,,,,,Y
Eleanor Holmes Norton,D,eleanor4dc,DC,US Delegate,1,21/06/2022,86.8,,,,,,,Y
Gregory C. Merk,R,merkgregory,FL,US Representative,1,23/08/2022,5.9,,,,,,,Y
Jeremy J. Kelly,R,jkelly4congress,FL,US Representative,1,23/08/2022,,WD,,,,,,Y
Phillip C. Ehr,D,philehr,FL,US Representative,1,23/08/2022,,NL,,,,,,Y
Matt Gaetz,R,mattgaetz,FL,US Representative,1,23/08/2022,68.9,,,,,,,Y
Terence R. Gray,D,terencegray4fl,FL,US Representative,10,23/08/2022,1.9,,,,,,,Y
Jack J. Achenbach,D,,FL,US Representative,10,23/08/2022,1.3,,,,,,,Y
Teresa N. Tachon,D,teresatachon,FL,US Representative,10,23/08/2022,2.4,,,,,,,Y
Natalie Jackson,D,natjacksonfl10,FL,US Representative,10,23/08/2022,6.9,,,,,,,Y
Aramis Ayala,D,aramisayala,FL,US Representative,10,23/08/2022,,WD,,,,,,Y
Willie Montague,R,,FL,US Representative,10,23/08/2022,11.9,,,,,,,Y
Randolph Bracy,D,randolphbracy,FL,US Representative,10,23/08/2022,25,,,,,,,Y
Al Deno,R,aj77deno,FL,US Representative,11,23/08/2022,,WD,,,,,,Y
Gavriel E. Soriano,R,gavsoriano,FL,US Representative,11,23/08/2022,4.8,,,,,,,Y
Laura Loomer,R,replauraloomer,FL,US Representative,11,23/08/2022,44.5,,,,,,,Y
Daniel Webster,R,webstercongress,FL,US Representative,11,23/08/2022,50.7,,,,,,,Y
Michael Carnevale,R,,FL,US Representative,12,23/08/2022,,WD,,,,,,Y
Brian Perras,R,bperras12,FL,US Representative,12,23/08/2022,3.8,,,,,,,Y
Kimberly H. Walker,D,kw4congress,FL,US Representative,12,23/08/2022,29.6,,,,,,,Y
Kevin Hayslett,R,,FL,US Representative,13,23/08/2022,33.7,,,,,,,Y
Christian D. Hotchkiss,D,chotchkissforfl,FL,US Representative,13,23/08/2022,,WD,,,,,,Y
Michele K. Rayner,D,micheleforfl,FL,US Representative,13,23/08/2022,,WD,,,,,,Y
Anna Paulina Luna,R,voteapl,FL,US Representative,13,23/08/2022,44.4,,,,,,,Y
Ben Diamond,D,bendiamondfl,FL,US Representative,13,23/08/2022,,WD,,,,,,Y
Christine Y. Quinn,R,electquinn,FL,US Representative,13,23/08/2022,3,,,,,,,Y
Eric Lynn,D,ericlynnfl,FL,US Representative,13,23/08/2022,,C,,,,,,Y
Audrey Henson,R,,FL,US Representative,13,23/08/2022,,WD,,,,,,Y
Amanda Makki,R,amandamakki,FL,US Representative,13,23/08/2022,17,,,,,,,Y
Charlie Crist,D,charliecrist,FL,US Representative,13,23/08/2022,,NL,,,,,,Y
Jay Collins,R,jaycollinsfl,FL,US Representative,14,23/08/2022,,NL,,,,,,Y
Anthony W. Eldon,D,,FL,US Representative,14,23/08/2022,,WD,,,,,,Y
Angel S. Urbina,R,realangelurbina,FL,US Representative,14,23/08/2022,,WD,,,,,,Y
Kathy Castor,D,kathycastorfl,FL,US Representative,14,23/08/2022,90.4,,,,,,,Y
Lilawatie Ramcharran,D,voteramcharran,FL,US Representative,15,23/08/2022,,WD,,,,,,Y
Eddie Geller,D,gellered,FL,US Representative,15,23/08/2022,21.7,,,,,,,Y
Scott Franklin,R,scottfranklinfl,FL,US Representative,15,23/08/2022,73.1,,,18,,,,Y
Kel J. Britvec,D,kelbman50,FL,US Representative,15,23/08/2022,,NL,,,,,,Y
Jesse Philippe,D,,FL,US Representative,15,23/08/2022,,WD,,,,,,Y
Greg Steube,R,gregsteube,FL,US Representative,17,23/08/2022,63.8,,,,,,,Y
Melissa Martz,R,,FL,US Representative,18,23/08/2022,8.5,,,21,,,,Y
Corinna Balderramos Robinson,D,corinnarobinson,FL,US Representative,18,23/08/2022,,C,,,,,,Y
Brian Mast,R,brianmastfl,FL,US Representative,18,23/08/2022,78.1,,,21,,,,Y
Pamela M. Keith,D,pamkeithfl,FL,US Representative,18,23/08/2022,,NL,,,,,,Y
Cindy L. Banyai,D,cindy_banyai_fl,FL,US Representative,19,23/08/2022,,C,,,,,,Y
Byron Donalds,R,byrondonalds,FL,US Representative,19,23/08/2022,83.8,,,,,,,Y
Neal Dunn,R,dunncampaign,FL,US Representative,2,23/08/2022,,C,,,,,,Y
Dale V.C. Holness,D,holnessd9,FL,US Representative,20,23/08/2022,28.7,,,,,,,Y
Vic DeGrammont,R,votedegrammont,FL,US Representative,20,23/08/2022,,NL,,,,,,Y
Sheila Cherfilus-McCormick,D,sheila4congress,FL,US Representative,20,23/08/2022,65.5,,,,,,,Y
Lateresa A. Jones,R,lateresajones,FL,US Representative,20,23/08/2022,,NL,,,,,,Y
Martin J. Marks,R,martinjmarks,FL,US Representative,21,23/08/2022,,WD,,,,,,Y
Peter S. Arianas,R,peter_arianas,FL,US Representative,21,23/08/2022,6,,,22,,,,Y
Daniel J. Franzese,R,danforfl,FL,US Representative,21,23/08/2022,34.7,,,22,,,,Y
Rod Dorilas,R,roddorilas,FL,US Representative,21,23/08/2022,19.1,,,22,,,,Y
Jeffrey D. Buongiorno,R,buongiorno2022,FL,US Representative,21,23/08/2022,12.2,,,,,,,Y
Keith G. Feit,R,feit_keith,FL,US Representative,21,23/08/2022,,WD,,,,,,Y
Laura Loomer,R,replauraloomer,FL,US Representative,21,23/08/2022,,WD,,,,,,Y
Lois Frankel,D,loisfrankel,FL,US Representative,21,23/08/2022,,C,,22,,,,Y
Steve M. Chess,R,chess4congress,FL,US Representative,22,23/08/2022,8.5,,,23,,,,Y
James L. Pruden,R,jamespruden13,FL,US Representative,22,23/08/2022,22.1,,,23,,,,Y
Darlene Swaffar,R,swaffarcongress,FL,US Representative,22,23/08/2022,11.6,,,23,,,,Y
Ted Deutch,D,teddeutch,FL,US Representative,22,23/08/2022,,NL,,,,,,Y
Jeffrey E. Olson,R,olson_fl,FL,US Representative,23,23/08/2022,,WD,,23,,,,Y
Rubin Young,R,,FL,US Representative,23,23/08/2022,28.3,,,25,,,,Y
Carla A. Spalding,R,,FL,US Representative,23,23/08/2022,71.7,,,25,,,,Y
Debbie Wasserman Schultz,D,dwstweets,FL,US Representative,23,23/08/2022,89.1,,,25,,,,Y
Lavern Spicer,R,lavern_spicer,FL,US Representative,24,23/08/2022,35.3,,,,,,,Y
Christine A. Olivo,D,,FL,US Representative,24,23/08/2022,,C,,26,,,,Y
Frederica S. Wilson,D,fswinthehouse,FL,US Representative,24,23/08/2022,89.3,,,,,,,Y
Adam Gentle,D,adammgentle,FL,US Representative,25,23/08/2022,,WD,,,,,,Y
Drew-Montez Clark,R,drewmontezclark,FL,US Representative,25,23/08/2022,,C,,27,,,,Y
Darren D. Aquino,R,aquino4congress,FL,US Representative,25,23/08/2022,15.8,,,,,,,Y
Mario Diaz-Balart,R,mariodbcamp,FL,US Representative,25,23/08/2022,84.2,,,,,,,Y
Juan Paredes,D,juan4congress,FL,US Representative,26,23/08/2022,30.7,,,28,,,,Y
Carlos Gimenez,R,carlosgimenezfl,FL,US Representative,26,23/08/2022,73.4,,,28,,,,Y
Angel Montalvo,D,montalvofl27,FL,US Representative,27,23/08/2022,6.2,,,,,,,Y
Frank E. Polo,R,polo4congress,FL,US Representative,27,23/08/2022,19.3,,,,,,,Y
Maria Salazar,R,maelvirasalazar,FL,US Representative,27,23/08/2022,80.7,,,,,,,Y
Janelle Perez,D,janellesofia,FL,US Representative,27,23/08/2022,,WD,,,,,,Y
Manuel P. Asensio,R,,FL,US Representative,3,23/08/2022,,WD,,,,,,Y
Justin J. Waters,R,justinwaterslaw,FL,US Representative,3,23/08/2022,15.2,,,,,,,Y
Danielle N. Hawk,D,,FL,US Representative,3,23/08/2022,67.5,,,,,,,Y
Thomas B. Wells,D,tomwells2022,FL,US Representative,3,23/08/2022,32.5,,,,,,,Y
Kat Cammack,R,kat_cammack,FL,US Representative,3,23/08/2022,62.5,,,,,,,Y
Al Robertson,D,,FL,US Representative,4,23/08/2022,,WD,,,,,,Y
Leigha J. Garner-Lopez,R,,FL,US Representative,4,23/08/2022,16.7,,,5,,,,Y
Erick J. Aguilar,R,,FL,US Representative,4,23/08/2022,25.8,,,,,,,Y
John Rutherford,R,jrutherfordfl,FL,US Representative,4,23/08/2022,65.7,,,5,,,,Y
Jon Chuba,R,jontchuba,FL,US Representative,5,23/08/2022,6.1,,,4,,,,Y
Connell A. Crooms,D,connellcrooms,FL,US Representative,5,23/08/2022,,WD,,,,,,Y
Al Lawson,D,allawsonjr,FL,US Representative,5,23/08/2022,,NL,,,,,,Y
Richard Thripp,D,thripp2020,FL,US Representative,6,23/08/2022,,NL,,,,,,Y
Brady Duke,R,bradydukefl,FL,US Representative,7,23/08/2022,15.3,,,,,,,Y
Joseph J. Cavagna,R,joecavagna,FL,US Representative,7,23/08/2022,,WD,,,,,,Y
Cory Mills,R,corymillsfl,FL,US Representative,7,23/08/2022,38.1,,,,,,,Y
Jeremy S. Liggett,R,jeremy_liggett,FL,US Representative,7,23/08/2022,,WD,,,,,,Y
Erika Benfield,R,erika_benfield,FL,US Representative,7,23/08/2022,5.4,,,,,,,Y
Anthony Sabatini,R,anthonysabatini,FL,US Representative,7,23/08/2022,23.6,,,,,,,Y
Stephanie Murphy,D,,FL,US Representative,7,23/08/2022,,WD,,,,,,Y
Patrick L. Wells,R,pwells4fl8,FL,US Representative,8,23/08/2022,,WD,,,,,,Y
Dena M. Minning Grayson,D,denaforcongress,FL,US Representative,8,23/08/2022,,NL,,,,,,Y
Bill Posey,R,poseycampaign,FL,US Representative,8,23/08/2022,64.9,,,,,,,Y
Scotty Moore,R,scottyamoore,FL,US Representative,9,23/08/2022,55.7,,,,,,,Y
Alycia M. Barnard,R,,FL,US Representative,9,23/08/2022,,WD,,,,,,Y
George G. Shepherd,R,ggshepherd3,FL,US Representative,9,23/08/2022,,WD,,18,,,,Y
Kevin C. Parker,D,politicalkev90,FL,US Representative,9,23/08/2022,,WD,,,,,,Y
Kenneth J. Hartpence,R,kennyhartpence,FL,US Representative,9,23/08/2022,6.5,,,18,,,,Y
Becky E. Hites,R,hites4congress,FL,US Representative,9,23/08/2022,,WD,,,,,,Y
Jose A. Castillo,R,joseforflorida,FL,US Representative,9,23/08/2022,25,,,,,,,Y
Sergio E. Ortiz,R,fl9congress,FL,US Representative,9,23/08/2022,6.3,,,,,,,Y
Darren Soto,D,darrensoto,FL,US Representative,9,23/08/2022,,C,,,,,,Y
Coleman Watson,D,,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Al Fox,D,albertafoxjr,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Allek Pastrana,D,allekpastrana,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Luis Miguel,R,,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Joshua J. Weil,D,,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Ken Russell,D,kenforflorida,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Allen L. Ellison,D,allenlellison,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Val Demings,D,valdemings,FL,US Senator,,23/08/2022,84.4,,,,,,,Y
Piotr Blass,R,pblass,FL,US Senator,,23/08/2022,,NL,,,,,,Y
William J. Sanchez,D,sanchezforsen,FL,US Senator,,23/08/2022,5.6,,,,,,,Y
Alan M. Grayson,D,alangrayson,FL,US Senator,,23/08/2022,,WD,,,,,,Y
Marco Rubio,R,marcorubio,FL,US Senator,,23/08/2022,,C,,,,,,Y
Joseph Palimeno,D,palimenoforgad1,GA,US Representative,1,24/05/2022,,WD,,,,,,Y
Wade W. Herring,D,,GA,US Representative,1,24/05/2022,38,,,,,61.9,,Y
Joyce M. Griggs,D,joycegriggs2022,GA,US Representative,1,24/05/2022,48.6,,,,,38.1,,Y
Buddy Carter,R,buddy_carter,GA,US Representative,1,24/05/2022,100,,,,,,,Y
Jessica Allison Fore,D,jessicaforega,GA,US Representative,10,24/05/2022,19.2,,,,,36.5,,Y
Todd Heussner,R,coltoddheussner,GA,US Representative,10,24/05/2022,,WD,,,,,,Y
Patrick J. Witt,R,patrickjwitt,GA,US Representative,10,24/05/2022,,WD,,,,,,Y
Mitchell Swan,R,swan4congress,GA,US Representative,10,24/05/2022,4.6,,,,,,,Y
Alan Sims,R,alansimsga,GA,US Representative,10,24/05/2022,6.6,,,,,,,Y
Andrew Alvey,R,alvey2022,GA,US Representative,10,24/05/2022,,WD,,,,,,Y
Matt Richards,R,mattrichardsga,GA,US Representative,10,24/05/2022,,WD,,,,,,Y
David Curry,R,davidcurryga,GA,US Representative,10,24/05/2022,9.4,,,,,,,Y
Phyllis D. Hatcher,D,hatcherford10,GA,US Representative,10,24/05/2022,18.9,,,,,,,Y
Tabitha A. Johnson-Green,D,tjg4ga,GA,US Representative,10,24/05/2022,42,,,,,63.5,,Y
Michael A. Collins,R,mikecollinsga,GA,US Representative,10,24/05/2022,25.6,,,,,74.6,,Y
Timothy Barr,R,,GA,US Representative,10,24/05/2022,14.3,,,,,,,Y
Jody Hice,R,,GA,US Representative,10,24/05/2022,,NL,,,,,,Y
Paul C. Broun,R,paulbrounforga,GA,US Representative,10,24/05/2022,13.3,,,,,,,Y
Antonio M. Daza-Fernandez,D,,GA,US Representative,11,24/05/2022,100,,,,,,,Y
Heather Kilpatrick,D,,GA,US Representative,11,24/05/2022,,WD,,,,,,Y
Beau A.R. Cannon,D,bcannon4ga,GA,US Representative,11,24/05/2022,,WD,,,,,,Y
Barry Loudermilk,R,standwithbarry,GA,US Representative,11,24/05/2022,100,,,,,,,Y
Rick W. Allen,R,rickallen,GA,US Representative,12,24/05/2022,100,,,,,,,Y
Elizabeth N. Johnson,D,lizjohnsonforus,GA,US Representative,12,24/05/2022,100,,,,,,,Y
Mark Baker,D,bakerforsfulton,GA,US Representative,13,24/05/2022,12.6,,,,,,,Y
Calina Plotky,R,calinaplotky,GA,US Representative,13,24/05/2022,22.7,,,,,,,Y
Antonio Darnell Gray,D,dradgray1,GA,US Representative,13,24/05/2022,,WD,,,,,,Y
David Scott,D,electdavidscott,GA,US Representative,13,24/05/2022,65.7,,,,,,,Y
Eric Cunningham,R,,GA,US Representative,14,24/05/2022,6.2,,,,,,,Y
Wendy Davis,D,wendyforus,GA,US Representative,14,24/05/2022,19.1,,,,,,,Y
Holly McCormack,D,,GA,US Representative,14,24/05/2022,6.2,,,,,,,Y
Marcus Flowers,D,marcus4georgia,GA,US Representative,14,24/05/2022,74.7,,,,,,,Y
Lateefah B. Conner,D,,GA,US Representative,14,24/05/2022,,WD,,,,,,Y
Marjorie Taylor Greene,R,repmtg,GA,US Representative,14,24/05/2022,69.5,,,,,,,Y
Jeremy Hunt,R,thejeremyhunt,GA,US Representative,2,24/05/2022,30.1,,,,,48.7,,Y
Tracy M. Taylor,R,greatamericanz,GA,US Representative,2,24/05/2022,,WD,,,,,,Y
Vivian L. Childs,R,vivianchilds,GA,US Representative,2,24/05/2022,6.4,,,,,,,Y
Sanford D. Bishop,D,sanfordbishop,GA,US Representative,2,24/05/2022,93.5,,,,,,,Y
Rhonda Elaine Simpson,R,,GA,US Representative,3,24/05/2022,,WD,,,,,,Y
Jared B. Craig,R,craigussenate,GA,US Representative,3,24/05/2022,17.3,,,,,,,Y
Val Almonord,D,valforcongress3,GA,US Representative,3,24/05/2022,100,,,,,,,Y
Drew Ferguson,R,drewfergusonga,GA,US Representative,3,24/05/2022,82.7,,,,,,,Y
Hank Johnson,D,reelecthank,GA,US Representative,4,24/05/2022,78.5,,,,,,,Y
Nikema Williams,D,nikemawilliams,GA,US Representative,5,24/05/2022,82.5,,,,,,,Y
Susan Voyles,R,suzivoyles,GA,US Representative,6,24/05/2022,2.3,,,,,,,Y
Mary Mallory Staples,R,,GA,US Representative,6,24/05/2022,9,,,,,,,Y
Kimberly Ann Clark Reuter,D,clarkreuter,GA,US Representative,6,24/05/2022,,WD,,,,,,Y
Harold Earls,R,,GA,US Representative,6,24/05/2022,,WD,,,,,,Y
Paulette Smith,R,forpaulette,GA,US Representative,6,24/05/2022,1,,,,,,,Y
Blake Harbin,R,,GA,US Representative,6,24/05/2022,3.7,,,,,,,Y
Elfreda A. Desvignes,R,elfredadesvign1,GA,US Representative,6,24/05/2022,,WD,,7,,,,Y
Richard D. McCormick,R,richforga,GA,US Representative,6,24/05/2022,43.1,,,,,68,,Y
Lucy McBath,D,lucymcbath,GA,US Representative,6,24/05/2022,63.1,,,7,,,,Y
Jake Evans,R,,GA,US Representative,6,24/05/2022,23,,,,,32,,Y
Meagan Hanson,R,hansonforhouse,GA,US Representative,6,24/05/2022,8.4,,,,,,,Y
Yahanseh George,R,ygnyghtstorm,GA,US Representative,7,24/05/2022,7.7,,,,,,,Y
Michael A. Corbin,R,corbin4congress,GA,US Representative,7,24/05/2022,41.1,,,,,29.9,,Y
Lisa N. Babbage,R,lisanoelbabbage,GA,US Representative,7,24/05/2022,,NL,,,,,,Y
Mark Gonsalves,R,markcongressga7,GA,US Representative,7,24/05/2022,27.5,,,,,70.1,,Y
Carolyn Bourdeaux,D,carolyn4ga7,GA,US Representative,7,24/05/2022,30.6,,,,,,,Y
Eugene C. Yu,R,,GA,US Representative,7,24/05/2022,6.5,,,6,,,,Y
Michael Reece,R,,GA,US Representative,8,24/05/2022,,WD,,,,,,Y
Austin Scott,R,austinscott4ga,GA,US Representative,8,24/05/2022,100,,,,,,,Y
Benjamin Odum Souther,R,,GA,US Representative,9,24/05/2022,15.1,,,,,,,Y
Paul Walton,D,walton4congress,GA,US Representative,9,24/05/2022,8.2,,,10,,,,Y
Andrew Clyde,R,,GA,US Representative,9,24/05/2022,76.4,,,,,,,Y
Jared B. Craig,R,craigussenate,GA,US Senator,,24/05/2022,,WD,,,,,,Y
Kelvin King,R,kelvinking4ga,GA,US Senator,,24/05/2022,3.2,,,,,,,Y
Latham Saddler,R,lathamsaddler,GA,US Senator,,24/05/2022,8.9,,,,,,,Y
Raphael Warnock,D,reverendwarnock,GA,US Senator,,24/05/2022,96,,,,,,,Y
Kelly Loeffler,R,kloeffler,GA,US Senator,,24/05/2022,,NL,,,,,,Y
Herschel Walker,R,herschelwalker,GA,US Senator,,24/05/2022,68.2,,,,,,,Y
Tamara Y. Johnson-Shealey,D,tamarashealey,GA,US Senator,,24/05/2022,4,,,,,,,Y
Josh Clark,R,joshclarkga,GA,US Senator,,24/05/2022,4,,,,,,,Y
Gary Ward Black,R,,GA,US Senator,,24/05/2022,13.4,,,,,,,Y
Ed Case,D,edcasehawaii,HI,US Representative,1,13/08/2022,84.3,,,,,,,Y
Kaiali'i Kahele,D,,HI,US Representative,2,13/08/2022,,NL,,,,,,Y
Brian Schatz,D,schatzforhawaii,HI,US Senator,,13/08/2022,93.7,,,,,,,Y
Brian Lenney,R,brian_lenney,ID,US Representative,1,17/05/2022,,WD,,,,,,Y
Russ Fulcher,R,russfulcher,ID,US Representative,1,17/05/2022,100,,,,,,,Y
Mike Simpson,R,mikesimpson4id,ID,US Representative,2,17/05/2022,63.7,,,,,,,Y
David Roth,D,rothforidaho,ID,US Senator,,17/05/2022,57.8,,,,,,,Y
Mike James Little,R,,ID,US Senator,,17/05/2022,,WD,,,,,,Y
Jeremy J. Gilbert,R,,ID,US Senator,,17/05/2022,,WD,,,,,,Y
Mike Crapo,R,crapoforsenate,ID,US Senator,,17/05/2022,67.1,,,,,,,Y
Jonathan Jackson,D,thejacksonfile,IL,US Representative,1,28/06/2022,28,,,,,,,Y
Eric Joseph Carlson,R,ericcarlsonil01,IL,US Representative,1,28/06/2022,40.5,,,,,,,Y
Michael Aaron Payne,D,,IL,US Representative,1,28/06/2022,,WD,,,,,,Y
Karin M. Norington-Reaves,D,votekarin,IL,US Representative,1,28/06/2022,14.1,,,,,,,Y
Patricia R. Dowell,D,ilfordowell,IL,US Representative,1,28/06/2022,19.2,,,,,,,Y
Darius Nix,D,,IL,US Representative,1,28/06/2022,,WD,,,,,,Y
Christopher Butler,D,christhecitizen,IL,US Representative,1,28/06/2022,5.6,,,,,,,Y
Michael A. Thompson,D,mathompson_jr,IL,US Representative,1,28/06/2022,2.2,,,,,,,Y
Jahmal Cole,D,jahmalcole2022,IL,US Representative,1,28/06/2022,5,,,,,,,Y
Kirby J. Birgans,D,,IL,US Representative,1,28/06/2022,0.6,,,,,,,Y
Philanise White,R,philaniseforco1,IL,US Representative,1,28/06/2022,5.9,,,,,,,Y
Ameena N. Matthews,D,ameenamatthews,IL,US Representative,1,28/06/2022,0.9,,,,,,,Y
Stephany Rose Spaulding,D,drstephanyrose,IL,US Representative,1,28/06/2022,,WD,,,,,,Y
Jacqueline Y. Collins,D,senatorjacqui,IL,US Representative,1,21/06/2022,12,,,,,,,Y
Bobby L. Rush,D,bobbyrushfor1st,IL,US Representative,1,28/06/2022,,NL,,,,,,Y
Brad Schneider,D,schneider4il10,IL,US Representative,10,28/06/2022,100,,,,,,,Y
Andrea Heeg,R,andreaheeg,IL,US Representative,11,28/06/2022,6.7,,,,,,,Y
Jerry Evans,R,jerryevans2020,IL,US Representative,11,28/06/2022,22.5,,,,,,,Y
Catalina Lauf,R,catalinalauf,IL,US Representative,11,28/06/2022,31.1,,,,,,,Y
Bill Foster,D,foster4congress,IL,US Representative,11,28/06/2022,100,,,,,,,Y
Mary Miller,R,miller_congress,IL,US Representative,12,28/06/2022,57.6,,,15,,,,Y
Mike Bost,R,bostforcongress,IL,US Representative,12,28/06/2022,100,,,,,,,Y
Regan Deering,R,regan4congress,IL,US Representative,13,28/06/2022,34.7,,,,,,,Y
David Palmer,D,palmerforil,IL,US Representative,13,28/06/2022,24.2,,,,,,,Y
Nicole Jai Budzinski,D,,IL,US Representative,13,28/06/2022,75.8,,,,,,,Y
Michael Kool,R,koolidge,IL,US Representative,14,28/06/2022,20.6,,,,,,,Y
Jack Lombardi,R,jacklombardi,IL,US Representative,14,28/06/2022,14.1,,,,,,,Y
Lauren Underwood,D,laurenunderwood,IL,US Representative,14,28/06/2022,100,,,,,,,Y
James T. Marter,R,marter4congress,IL,US Representative,14,28/06/2022,24.2,,,,,,,Y
Leona Di Amore,R,amore_leona,IL,US Representative,16,28/06/2022,,NL,,,,,,Y
Adam Kinzinger,R,adamkinzinger,IL,US Representative,16,28/06/2022,,WD,,,,,,Y
Angela H. Normoyle,D,angienormoyle,IL,US Representative,17,28/06/2022,12.4,,,,,,,Y
Marsha V. Williams,D,congressmarsha,IL,US Representative,17,28/06/2022,6.9,,,,,,,Y
