INCUMBENT,STATUS,ELECTIONCODE,ELECTIONDATE,STATEABBR,LEVEL,CHAMBER,DISTRICT,RACE,ETHNICITY,GENDER,PARTY,screen_name,name
,Running,P,2022-06-07,CA,FL,FH,49.0,US Representative,,Female,R,ocsupbartlett,Lisa Bartlett
,Running,P,2022-06-07,CA,FL,FH,49.0,US Representative,,Male,R,vote4crod,Christopher Rodriguez
,Running,P,2022-06-07,CA,FL,FH,49.0,US Representative,White/Caucasian,Male,R,brianlmaryott,Brian L. Maryott
Y,Running,P,2022-06-07,CA,FL,FH,49.0,US Representative,White/Caucasian,Male,D,mikelevin,Mike Levin
,Running,P,2022-06-07,CA,FL,FH,5.0,US Representative,White/Caucasian,Male,D,mjbarkl,Michael J. Barkley
,Running,P,2022-06-07,CA,FL,FH,5.0,US Representative,Asian/Pacific American,Female,R,elizabethheng,Elizabeth Heng
,Running,P,2022-06-07,CA,FL,FH,5.0,US Representative,Hispanic/Latino,Male,R,johnestrada,John A. Estrada
Y,Running,P,2022-06-07,CA,FL,FH,5.0,US Representative,White/Caucasian,Male,D,mike_ca05,Mike Thompson
,Running,P,2022-06-07,CA,FL,FH,50.0,US Representative,,Female,D,kylietaitano,Kylie Taitano
,Withdrew From Race,P,2022-06-07,CA,FL,FH,50.0,US Representative,,Male,D,joseph_c_rocha,Joseph C. Rocha
,Running,P,2022-06-07,CA,FL,FH,50.0,US Representative,White/Caucasian,Female,D,maribarosay,Mari Barosay
,Running,P,2022-06-07,CA,FL,FH,50.0,US Representative,,Male,D,electhoulahan,Stephen W. Houlahan
,Withdrew From Race,P,2022-06-07,CA,FL,FH,50.0,US Representative,,Male,R,mayorsamabed,Sam Abed
,Running,P,2022-06-07,CA,FL,FH,51.0,US Representative,,Female,D,holmanleak,Barrett Holman Leak
,Running,P,2022-06-07,CA,FL,FH,51.0,US Representative,White/Caucasian,Female,D,sarajacobsca,Sara Jacobs
,Running,P,2022-06-07,CA,FL,FH,52.0,US Representative,White/Caucasian,Male,R,judahhosanna,Judah Hosanna
,Running,P,2022-06-07,CA,FL,FH,52.0,US Representative,White/Caucasian,Male,R,debellocongress,James DeBello
,Running,P,2022-06-07,CA,FL,FH,52.0,US Representative,Hispanic/Latino,Male,D,vazquez4ca52,Joaquin Vazquez
Y,Running,P,2022-06-07,CA,FL,FH,52.0,US Representative,White/Caucasian,Male,D,scottpeterssd,Scott Peters
,Running,P,2022-06-07,CA,FL,FH,6.0,US Representative,White/Caucasian,Female,R,bishforcongress,Christine Bish
,Running,P,2022-06-07,CA,FL,FH,6.0,US Representative,White/Caucasian,Male,D,jimmy_fremgen,Jimmy Fremgen
Y,Running,P,2022-06-07,CA,FL,FH,6.0,US Representative,Asian/Pacific American,Female,D,matsui4congress,Doris Matsui
,Withdrew From Race,P,2022-06-07,CA,FL,FH,7.0,US Representative,White/Caucasian,Male,R,buzzpatterson,Robert Patterson
Y,Running,P,2022-06-07,CA,FL,FH,7.0,US Representative,Other,Male,D,beraforcongress,Ami Bera
,Running,P,2022-06-07,CA,FL,FH,8.0,US Representative,,Male,D,edwinrutsch,Edwin Rutsch
,Running,P,2022-06-07,CA,FL,FH,8.0,US Representative,White/Caucasian,Male,D,derekmarshallca,Derek Marshall
,Running,P,2022-06-07,CA,FL,FH,8.0,US Representative,,Female,D,gomblan1,Blanca A. Gomez
Y,Running,P,2022-06-07,CA,FL,FH,8.0,US Representative,White/Caucasian,Male,R,teamobernolte,Jay Obernolte
,Running,P,2022-06-07,CA,FL,FH,8.0,US Representative,,Female,D,cbsudduth,Cheryl Sudduth
,Running,P,2022-06-07,CA,FL,FH,9.0,US Representative,,Male,R,supetompatti,Thomas Patti
,Running,P,2022-06-07,CA,FL,FH,9.0,US Representative,,Male,D,harpreetchima,Harpreet Singh Chima
Y,Withdrew From Race,P,2022-06-07,CA,FL,FH,9.0,US Representative,White/Caucasian,Male,D,jerrymcnerney,Jerry McNerney
,Running,P,2022-06-07,CA,FL,FS,,US Senator,White/Caucasian,Male,R,cordie4senate,Cordie Lee Williams
,Running,P,2022-06-07,CA,FL,FS,,US Senator,White/Caucasian,Male,R,dannyfabricant,Danny Fabricant
,Running,P,2022-06-07,CA,FL,FS,,US Senator,,Male,D,chrismtheodore,Christopher M. Theodore
,Running,P,2022-06-07,CA,FL,FS,,US Senator,,Male,D,ernest2022,Ernest Taylor
,Running,P,2022-06-07,CA,FL,FS,,US Senator,,Female,D,jessicaad03,Jessica S. Resendez
,Running,P,2022-06-07,CA,FL,FS,,US Senator,Asian/Pacific American,Female,R,thezmedia,Lily Zhou
,Running,P,2022-06-07,CA,FL,FS,,US Senator,Asian/Pacific American,Male,R,peterliucagov18,Peter Y. Liu
,Running,P,2022-06-07,CA,FL,FS,,US Senator,White/Caucasian,Male,R,jamesbradleyca,James P. Bradley
,Running,P,2022-06-07,CA,FL,FS,,US Senator,Hispanic/Latino,Female,R,realerincruz,Erin Alvarez Cruz
,Running,P,2022-06-07,CA,FL,FS,,US Senator,White/Caucasian,Male,D,pierceussenate,Douglas H. Pierce
,Running,P,2022-06-07,CA,FL,FS,,US Senator,White/Caucasian,Male,R,markmeuser,Mark P. Meuser
Y,Running,P,2022-06-07,CA,FL,FS,,US Senator,Hispanic/Latino,Male,D,alexpadilla4ca,Alex Padilla
,Running,P,2022-06-28,CO,FL,FH,1.0,US Representative,,Male,D,nealforcd1,Neal Walia
,Running,P,2022-06-28,CO,FL,FH,1.0,US Representative,,Male,D,domwatersushou1,Dom Waters
Y,Running,P,2022-06-28,CO,FL,FH,1.0,US Representative,White/Caucasian,Female,D,degette5280,Diana DeGette
Y,Running,P,2022-06-28,CO,FL,FH,2.0,US Representative,Black/African American,Male,D,joeneguse,Joe Neguse
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Male,D,scodtt,Scott Yates
,Withdrew From Race,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Male,D,cole4colorado,Colin Buerger
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Female,D,rhodes2congress,Kellie Rhodes
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Female,D,burnettforco3,Debora L. Burnett
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,White/Caucasian,Female,R,marina4colorado,Marina Zimmerman
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,Hispanic/Latino,Female,D,solforco,Soledad Sandoval Tafoya
,Withdrew From Race,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Female,D,susanforcd3,Susan Lynn Martinez
Y,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,White/Caucasian,Female,R,laurenboebert,Lauren Boebert
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,,Male,D,colinwilhelm22,Colin Wilhelm
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,Hispanic/Latino,Male,D,donaldvaldezco,Donald Valdez
,Withdrew From Race,P,2022-06-28,CO,FL,FH,3.0,US Representative,White/Caucasian,Female,D,kerrydonovanco,Kerry Donovan
,Running,P,2022-06-28,CO,FL,FH,3.0,US Representative,White/Caucasian,Male,R,coramforco,Don Coram
,Running,P,2022-06-28,CO,FL,FH,4.0,US Representative,White/Caucasian,Male,D,ike4co,Isaac I. McCorkle
Y,Running,P,2022-06-28,CO,FL,FH,4.0,US Representative,White/Caucasian,Male,R,buckforcolorado,Ken Buck
,Running,P,2022-06-28,CO,FL,FH,5.0,US Representative,White/Caucasian,Male,D,coloradocd5,Michael C. Colombe
,Running,P,2022-06-28,CO,FL,FH,5.0,US Representative,White/Caucasian,Male,D,jeremyjdowell,Jeremy J. Dowell
,Running,P,2022-06-28,CO,FL,FH,5.0,US Representative,Hispanic/Latino,Male,D,cd5torres,Santiago David Goenaga-Torres
,Running,P,2022-06-28,CO,FL,FH,5.0,US Representative,White/Caucasian,Female,R,keltie4congress,Rebecca E. Keltie
,Running,P,2022-06-28,CO,FL,FH,5.0,US Representative,Hispanic/Latino,Male,R,repdavewilliams,Dave Williams
Y,Running,P,2022-06-28,CO,FL,FH,6.0,US Representative,White/Caucasian,Male,D,jasoncrowco,Jason Crow
,Running,P,2022-06-28,CO,FL,FH,7.0,US Representative,White/Caucasian,Male,R,timreichertco,Tim Reichert
,Withdrew From Race,P,2022-06-28,CO,FL,FH,7.0,US Representative,,Male,D,faust4us,Kyle Alexander Faust
,Running,P,2022-06-28,CO,FL,FH,7.0,US Representative,White/Caucasian,Female,R,imerforcolorado,Laurel A. Imer
,Running,P,2022-06-28,CO,FL,FH,7.0,US Representative,White/Caucasian,Female,D,pettersen4co,Brittany Pettersen
Y,Withdrew From Race,P,2022-06-28,CO,FL,FH,7.0,US Representative,White/Caucasian,Male,D,ed4colorado,Ed Perlmutter
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Female,D,yadiracaraveo,Yadira Caraveo
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Male,D,johnnynhumphrey,Johnny Humphrey
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Male,D,chazforcongress,Chaz Tedesco
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Male,R,ryangonzalezco,Ryan Gonzalez
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Female,R,jewelsgray,Jewels Gray
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Female,R,bkirkmeyer,Barbara Kirkmeyer
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Female,R,jankulmann,Jan Kulmann
,Running,P,2022-06-28,CO,FL,FH,8.0,US Representative,,Female,R,lorisaine,Lori Saine
,Running,P,2022-06-28,CO,FL,FS,,US Senator,,Female,R,deborahforco,Deborah Flora
,Running,P,2022-06-28,CO,FL,FS,,US Senator,White/Caucasian,Male,R,odeaforcolorado,Joseph O'Dea
,Running,P,2022-06-28,CO,FL,FS,,US Senator,,Male,R,gino_campana,Gino Campana
,Running,P,2022-06-28,CO,FL,FS,,US Senator,White/Caucasian,Male,R,eliforcolorado,Eli Bremer
,Running,P,2022-06-28,CO,FL,FS,,US Senator,White/Caucasian,Female,D,breslinsenate,Karen Breslin
,Running,P,2022-06-28,CO,FL,FS,,US Senator,White/Caucasian,Male,R,hanksussenate,Ron Hanks
,Running,P,2022-06-28,CO,FL,FS,,US Senator,,Male,R,yupeterco,Peter Yu
Y,Running,P,2022-06-28,CO,FL,FS,,US Senator,White/Caucasian,Male,D,michaelbennet,Michael Bennet
,Running,P,2022-08-09,CT,FL,FH,1.0,US Representative,,Male,R,larrylazor,Lawrence Z. Lazor
,Withdrew From Race,P,2022-08-09,CT,FL,FH,1.0,US Representative,,Male,D,andrewlegnani,Andrew J. Legnani
,Running,P,2022-08-09,CT,FL,FH,1.0,US Representative,White/Caucasian,Male,D,muadhrezi,Muad Hrezi
Y,Running,P,2022-08-09,CT,FL,FH,1.0,US Representative,White/Caucasian,Male,D,johnlarsonct,John Larson
,Running,P,2022-08-09,CT,FL,FH,2.0,US Representative,White/Caucasian,Male,D,diliziaforct,Anthony A. DiLizia
,Running,P,2022-08-09,CT,FL,FH,2.0,US Representative,White/Caucasian,Male,R,mikefrancect2,Mike France
Y,Running,P,2022-08-09,CT,FL,FH,2.0,US Representative,White/Caucasian,Male,D,joecourtneyct,Joe Courtney
,Running,P,2022-08-09,CT,FL,FH,3.0,US Representative,White/Caucasian,Male,D,erikstoresund,Erik Storesund
Y,Running,P,2022-08-09,CT,FL,FH,3.0,US Representative,White/Caucasian,Female,D,rosa_delauro,Rosa DeLauro
,Running,P,2022-08-09,CT,FL,FH,4.0,US Representative,White/Caucasian,Male,R,drmgoldstein,Michael Goldstein
,Running,P,2022-08-09,CT,FL,FH,4.0,US Representative,White/Caucasian,Male,D,votemerlen,Brian Merlen
Y,Running,P,2022-08-09,CT,FL,FH,4.0,US Representative,White/Caucasian,Male,D,jahimes,Jim Himes
Y,Running,P,2022-08-09,CT,FL,FH,5.0,US Representative,Black/African American,Female,D,jahanahayesct,Jahana Hayes
,Running,P,2022-08-09,CT,FL,FH,5.0,US Representative,Black/African American,Male,R,gsloganct,George S. Logan
,Running,P,2022-08-09,CT,FL,FS,,US Senator,White/Caucasian,Male,R,jflynn4ussenate,John J. Flynn
Y,Running,P,2022-08-09,CT,FL,FS,,US Senator,White/Caucasian,Male,D,dickblumenthal,Richard Blumenthal
Y,Running,P,2022-09-13,DE,FL,FH,1.0,US Representative,Black/African American,Female,D,lisabrochester,Lisa Blunt Rochester
,Running,P,2022-09-13,DE,FL,FH,1.0,US Representative,White/Caucasian,Male,R,gomurph2020,Lee H. Murphy
,Running,P,2022-06-21,DC,FL,FH,1.0,US Delegate,Black/African American,Male,D,gregmayefordc,Gregory Maye
,Running,P,2022-06-21,DC,FL,FH,1.0,US Delegate,Black/African American,Female,D,revwendy3,Wendy Hamilton
Y,Running,P,2022-06-21,DC,FL,FH,1.0,US Delegate,Black/African American,Female,D,eleanor4dc,Eleanor Holmes Norton
,Running,P,2022-08-23,FL,FL,FH,1.0,US Representative,White/Caucasian,Male,R,merkgregory,Gregory C. Merk
,Running,P,2022-08-23,FL,FL,FH,1.0,US Representative,,Male,R,jkelly4congress,Jeremy J. Kelly
,Withdrew From Race,P,2022-08-23,FL,FL,FH,1.0,US Representative,White/Caucasian,Male,D,philehr,Phillip C. Ehr
Y,Running,P,2022-08-23,FL,FL,FH,1.0,US Representative,White/Caucasian,Male,R,mattgaetz,Matt Gaetz
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,,Male,D,terencegray4fl,Terence R. Gray
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,White/Caucasian,Male,D,jackachenbach,Jack J. Achenbach
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,,Female,D,teresatachon,Teresa N. Tachon
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,,Female,D,natjacksonfl10,Natalie Jackson
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,Black/African American,Female,D,aramisayala,Aramis Ayala
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,Black/African American,Male,R,repmontague,Willie Montague
,Running,P,2022-08-23,FL,FL,FH,10.0,US Representative,Black/African American,Male,D,randolphbracy,Randolph Bracy
,Running,P,2022-08-23,FL,FL,FH,11.0,US Representative,White/Caucasian,Male,R,aj77deno,Al Deno
,Running,P,2022-08-23,FL,FL,FH,11.0,US Representative,,Male,R,gavsoriano,Gavriel E. Soriano
,Running,P,2022-08-23,FL,FL,FH,11.0,US Representative,White/Caucasian,Female,R,replauraloomer,Laura Loomer
Y,Running,P,2022-08-23,FL,FL,FH,11.0,US Representative,White/Caucasian,Male,R,webstercongress,Daniel Webster
,Running,P,2022-08-23,FL,FL,FH,12.0,US Representative,,Male,R,mike_carnevale_,Michael Carnevale
,Running,P,2022-08-23,FL,FL,FH,12.0,US Representative,,Male,R,bperras12,Brian Perras
,Running,P,2022-08-23,FL,FL,FH,12.0,US Representative,Black/African American,Female,D,kw4congress,Kimberly H. Walker
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Male,R,kevinhayslett,Kevin Hayslett
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,,Male,D,chotchkissforfl,Christian D. Hotchkiss
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,Black/African American,Female,D,micheleforfl,Michele K. Rayner
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,Hispanic/Latino,Female,R,voteapl,Anna Paulina Luna
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Male,D,bendiamondfl,Ben Diamond
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Female,R,electquinn,Christine Y. Quinn
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Male,D,ericlynnfl,Eric Lynn
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Female,R,audreyhensonfl,Audrey Henson
,Running,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Female,R,amandamakki,Amanda Makki
Y,Withdrew From Race,P,2022-08-23,FL,FL,FH,13.0,US Representative,White/Caucasian,Male,D,charliecrist,Charlie Crist
,Running,P,2022-08-23,FL,FL,FH,14.0,US Representative,White/Caucasian,Male,R,jaycollinsfl,Jay Collins
,Running,P,2022-08-23,FL,FL,FH,14.0,US Representative,,Male,D,tonyforflorida,Anthony W. Eldon
,Running,P,2022-08-23,FL,FL,FH,14.0,US Representative,Hispanic/Latino,Male,R,realangelurbina,Angel S. Urbina
Y,Running,P,2022-08-23,FL,FL,FH,14.0,US Representative,White/Caucasian,Female,D,kathycastorfl,Kathy Castor
,Withdrew From Race,P,2022-08-23,FL,FL,FH,15.0,US Representative,,Female,D,voteramcharran,Lilawatie Ramcharran
,Running,P,2022-08-23,FL,FL,FH,15.0,US Representative,White/Caucasian,Male,D,gellered,Eddie Geller
Y,Running,P,2022-08-23,FL,FL,FH,15.0,US Representative,White/Caucasian,Male,R,scottfranklinfl,Scott Franklin
,Running,P,2022-08-23,FL,FL,FH,15.0,US Representative,White/Caucasian,Male,D,kelbman50,Kel J. Britvec
,Running,P,2022-08-23,FL,FL,FH,15.0,US Representative,Black/African American,Male,D,jessep4congress,Jesse Philippe
Y,Running,P,2022-08-23,FL,FL,FH,17.0,US Representative,White/Caucasian,Male,R,gregsteube,Greg Steube
,Running,P,2022-08-23,FL,FL,FH,18.0,US Representative,,Female,R,martz4congress,Melissa Martz
,Running,P,2022-08-23,FL,FL,FH,18.0,US Representative,,Female,D,corinnarobinson,Corinna Balderramos Robinson
Y,Running,P,2022-08-23,FL,FL,FH,18.0,US Representative,White/Caucasian,Male,R,brianmastfl,Brian Mast
,Running,P,2022-08-23,FL,FL,FH,18.0,US Representative,Black/African American,Female,D,pamkeithfl,Pamela M. Keith
,Running,P,2022-08-23,FL,FL,FH,19.0,US Representative,White/Caucasian,Female,D,cindy_banyai_fl,Cindy L. Banyai
Y,Running,P,2022-08-23,FL,FL,FH,19.0,US Representative,Black/African American,Male,R,byrondonalds,Byron Donalds
Y,Running,P,2022-08-23,FL,FL,FH,2.0,US Representative,White/Caucasian,Male,R,dunncampaign,Neal Dunn
,Running,P,2022-08-23,FL,FL,FH,20.0,US Representative,Black/African American,Male,D,holnessd9,Dale V.C. Holness
,Running,P,2022-08-23,FL,FL,FH,20.0,US Representative,Two or More Ethnicities,Male,R,votedegrammont,Vic DeGrammont
Y,Running,P,2022-08-23,FL,FL,FH,20.0,US Representative,Black/African American,Female,D,sheila4congress,Sheila Cherfilus-McCormick
,Withdrew From Race,P,2022-08-23,FL,FL,FH,20.0,US Representative,Black/African American,Female,R,lateresajones,Lateresa A. Jones
,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,White/Caucasian,Male,R,martinjmarks,Martin J. Marks
,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,,Male,R,peter_arianas,Peter S. Arianas
,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,,Male,R,danforfl,Daniel J. Franzese
,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,Black/African American,Male,R,roddorilas,Rod Dorilas
,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,,Male,R,buongiorno2022,Jeffrey D. Buongiorno
,Withdrew From Race,P,2022-08-23,FL,FL,FH,21.0,US Representative,White/Caucasian,Male,R,feit_keith,Keith G. Feit
Y,Running,P,2022-08-23,FL,FL,FH,21.0,US Representative,White/Caucasian,Female,D,loisfrankel,Lois Frankel
,Running,P,2022-08-23,FL,FL,FH,22.0,US Representative,,Male,R,chess4congress,Steve M. Chess
,Running,P,2022-08-23,FL,FL,FH,22.0,US Representative,White/Caucasian,Male,R,jamespruden13,James L. Pruden
,Running,P,2022-08-23,FL,FL,FH,22.0,US Representative,White/Caucasian,Female,R,swaffarcongress,Darlene Swaffar
Y,Running,P,2022-08-23,FL,FL,FH,22.0,US Representative,White/Caucasian,Male,D,teddeutch,Ted Deutch
,Running,P,2022-08-23,FL,FL,FH,23.0,US Representative,White/Caucasian,Male,R,olson_fl,Jeffrey E. Olson
,Running,P,2022-08-23,FL,FL,FH,23.0,US Representative,,Male,R,happyyoung1455,Rubin Young
,Running,P,2022-08-23,FL,FL,FH,23.0,US Representative,Black/African American,Female,R,carla_spalding,Carla A. Spalding
Y,Running,P,2022-08-23,FL,FL,FH,23.0,US Representative,White/Caucasian,Female,D,dwstweets,Debbie Wasserman Schultz
,Running,P,2022-08-23,FL,FL,FH,24.0,US Representative,Black/African American,Female,R,lavern_spicer,Lavern Spicer
,Running,P,2022-08-23,FL,FL,FH,24.0,US Representative,Black/African American,Female,D,christinefor24,Christine A. Olivo
Y,Running,P,2022-08-23,FL,FL,FH,24.0,US Representative,Black/African American,Female,D,fswinthehouse,Frederica S. Wilson
,Withdrew From Race,P,2022-08-23,FL,FL,FH,25.0,US Representative,White/Caucasian,Male,D,adammgentle,Adam Gentle
,Running,P,2022-08-23,FL,FL,FH,25.0,US Representative,Black/African American,Male,R,drewmontezclark,Drew-Montez Clark
,Running,P,2022-08-23,FL,FL,FH,25.0,US Representative,Hispanic/Latino,Male,R,aquino4congress,Darren D. Aquino
Y,Running,P,2022-08-23,FL,FL,FH,25.0,US Representative,Hispanic/Latino,Male,R,mariodbcamp,Mario Diaz-Balart
,Running,P,2022-08-23,FL,FL,FH,26.0,US Representative,,Male,D,juan4congress,Juan Paredes
Y,Running,P,2022-08-23,FL,FL,FH,26.0,US Representative,Hispanic/Latino,Male,R,carlosgimenezfl,Carlos Gimenez
,Running,P,2022-08-23,FL,FL,FH,27.0,US Representative,Hispanic/Latino,Male,D,montalvofl27,Angel Montalvo
,Running,P,2022-08-23,FL,FL,FH,27.0,US Representative,,Male,R,polo4congress,Frank E. Polo
Y,Running,P,2022-08-23,FL,FL,FH,27.0,US Representative,Hispanic/Latino,Female,R,maelvirasalazar,Maria Salazar
,Withdrew From Race,P,2022-08-23,FL,FL,FH,27.0,US Representative,Hispanic/Latino,Female,D,janellesofia,Janelle Perez
,Running,P,2022-08-23,FL,FL,FH,3.0,US Representative,,Male,R,asensiocom,Manuel P. Asensio
,Running,P,2022-08-23,FL,FL,FH,3.0,US Representative,,Male,R,justinwaterslaw,Justin J. Waters
,Running,P,2022-08-23,FL,FL,FH,3.0,US Representative,White/Caucasian,Female,D,hawkforcongress,Danielle N. Hawk
,Running,P,2022-08-23,FL,FL,FH,3.0,US Representative,White/Caucasian,Male,D,tomwells2022,Thomas B. Wells
Y,Running,P,2022-08-23,FL,FL,FH,3.0,US Representative,White/Caucasian,Female,R,kat_cammack,Kat Cammack
,Running,P,2022-08-23,FL,FL,FH,4.0,US Representative,Two or More Ethnicities,Male,D,alrobertsonfl,Al Robertson
,Running,P,2022-08-23,FL,FL,FH,4.0,US Representative,Hispanic/Latino,Female,R,reallunalopez,Leigha J. Garner-Lopez
,Running,P,2022-08-23,FL,FL,FH,4.0,US Representative,Hispanic/Latino,Male,R,erickaguilarjax,Erick J. Aguilar
Y,Running,P,2022-08-23,FL,FL,FH,4.0,US Representative,White/Caucasian,Male,R,jrutherfordfl,John Rutherford
,Running,P,2022-08-23,FL,FL,FH,5.0,US Representative,,Male,R,jontchuba,Jon Chuba
,Running,P,2022-08-23,FL,FL,FH,5.0,US Representative,,Male,D,connellcrooms,Connell A. Crooms
Y,Running,P,2022-08-23,FL,FL,FH,5.0,US Representative,Black/African American,Male,D,allawsonjr,Al Lawson
,Withdrew From Race,P,2022-08-23,FL,FL,FH,6.0,US Representative,White/Caucasian,Male,D,thripp2020,Richard Thripp
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,White/Caucasian,Male,R,bradydukefl,Brady Duke
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,,Male,R,joecavagna,Joseph J. Cavagna
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,White/Caucasian,Male,R,corymillsfl,Cory Mills
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,,Male,R,jeremy_liggett,Jeremy S. Liggett
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,White/Caucasian,Female,R,erika_benfield,Erika Benfield
,Running,P,2022-08-23,FL,FL,FH,7.0,US Representative,White/Caucasian,Male,R,anthonysabatini,Anthony Sabatini
Y,Withdrew From Race,P,2022-08-23,FL,FL,FH,7.0,US Representative,Asian/Pacific American,Female,D,smurphycongress,Stephanie Murphy
,Running,P,2022-08-23,FL,FL,FH,8.0,US Representative,White/Caucasian,Male,R,pwells4fl8,Patrick L. Wells
,Running,P,2022-08-23,FL,FL,FH,8.0,US Representative,White/Caucasian,Female,D,denaforcongress,Dena M. Minning Grayson
Y,Running,P,2022-08-23,FL,FL,FH,8.0,US Representative,White/Caucasian,Male,R,poseycampaign,Bill Posey
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,White/Caucasian,Male,R,scottyamoore,Scotty Moore
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,White/Caucasian,Female,R,alyciabarnard22,Alycia M. Barnard
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,,Male,R,ggshepherd3,George G. Shepherd
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,,Male,D,politicalkev90,Kevin C. Parker
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,White/Caucasian,Male,R,kennyhartpence,Kenneth J. Hartpence
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,,Female,R,hites4congress,Becky E. Hites
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,Hispanic/Latino,Male,R,joseforflorida,Jose A. Castillo
,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,Hispanic/Latino,Male,R,fl9congress,Sergio E. Ortiz
Y,Running,P,2022-08-23,FL,FL,FH,9.0,US Representative,Two or More Ethnicities,Male,D,darrensoto,Darren Soto
,Running,P,2022-08-23,FL,FL,FS,,US Senator,,Male,D,colemanwatsonfl,Coleman Watson
,Running,P,2022-08-23,FL,FL,FS,,US Senator,,Male,D,albertafoxjr,Al Fox
,Running,P,2022-08-23,FL,FL,FS,,US Senator,White/Caucasian,Male,D,allekpastrana,Allek Pastrana
,Running,P,2022-08-23,FL,FL,FS,,US Senator,Hispanic/Latino,Male,R,luismiguelus,Luis Miguel
,Running,P,2022-08-23,FL,FL,FS,,US Senator,White/Caucasian,Male,D,weil4ussenate,Joshua J. Weil
,Running,P,2022-08-23,FL,FL,FS,,US Senator,Two or More Ethnicities,Male,D,kenforflorida,Ken Russell
,Running,P,2022-08-23,FL,FL,FS,,US Senator,Black/African American,Male,D,allenlellison,Allen L. Ellison
,Running,P,2022-08-23,FL,FL,FS,,US Senator,Black/African American,Female,D,valdemings,Val Demings
,Running,P,2022-08-23,FL,FL,FS,,US Senator,White/Caucasian,Male,R,pblass,Piotr Blass
,Running,P,2022-08-23,FL,FL,FS,,US Senator,Hispanic/Latino,Male,D,sanchezforsen,William J. Sanchez
,Running,P,2022-08-23,FL,FL,FS,,US Senator,White/Caucasian,Male,D,alangrayson,Alan M. Grayson
Y,Running,P,2022-08-23,FL,FL,FS,,US Senator,Hispanic/Latino,Male,R,marcorubio,Marco Rubio
,Running,P,2022-05-24,GA,FL,FH,1.0,US Representative,White/Caucasian,Male,D,palimenoforgad1,Joseph Palimeno
,Running,P,2022-05-24,GA,FL,FH,1.0,US Representative,,Male,D,wadeherringga1,Wade W. Herring
,Running,P,2022-05-24,GA,FL,FH,1.0,US Representative,Black/African American,Female,D,joycegriggs2022,Joyce M. Griggs
Y,Running,P,2022-05-24,GA,FL,FH,1.0,US Representative,White/Caucasian,Male,R,buddy_carter,Buddy Carter
